date,USD/JPY_sell,USD/JPY_buy,EUR/JPY_sell,EUR/JPY_buy,GBP/JPY_sell,GBP/JPY_buy,AUD/JPY_sell,AUD/JPY_buy,NZD/JPY_sell,NZD/JPY_buy,CAD/JPY_sell,CAD/JPY_buy,CHF/JPY_sell,CHF/JPY_buy,ZAR/JPY_sell,ZAR/JPY_buy,TRY/JPY_sell,TRY/JPY_buy,EUR/USD_sell,EUR/USD_buy,GBP/USD_sell,GBP/USD_buy,EUR/GBP_sell,EUR/GBP_buy,AUD/USD_sell,AUD/USD_buy,NZD/USD_sell,NZD/USD_buy,USD/CHF_sell,USD/CHF_buy,USD/CAD_sell,USD/CAD_buy,EUR/CHF_sell,EUR/CHF_buy,GBP/CHF_sell,GBP/CHF_buy,EUR/AUD_sell,EUR/AUD_buy,AUD/NZD_sell,AUD/NZD_buy,EUR/CAD_sell,EUR/CAD_buy,AUD/CHF_sell,AUD/CHF_buy,NZD/CHF_sell,NZD/CHF_buy,NOK/JPY_sell,NOK/JPY_buy,SEK/JPY_sell,SEK/JPY_buy,SGD/JPY_sell,SGD/JPY_buy,HKD/JPY_sell,HKD/JPY_buy,MXN/JPY_sell,MXN/JPY_buy,PLN/JPY_sell,PLN/JPY_buy,HUF/JPY_sell,HUF/JPY_buy,USD/HKD_sell,USD/HKD_buy,USD/HUF_sell,USD/HUF_buy,USD/MXN_sell,USD/MXN_buy,USD/PLN_sell,USD/PLN_buy,USD/SGD_sell,USD/SGD_buy,USD/TRY_sell,USD/TRY_buy,USD/ZAR_sell,USD/ZAR_buy,EUR/NOK_sell,EUR/NOK_buy,EUR/NZD_sell,EUR/NZD_buy,EUR/PLN_sell,EUR/PLN_buy,EUR/SEK_sell,EUR/SEK_buy,EUR/SGD_sell,EUR/SGD_buy,EUR/TRY_sell,EUR/TRY_buy,EUR/ZAR_sell,EUR/ZAR_buy,GBP/AUD_sell,GBP/AUD_buy,GBP/CAD_sell,GBP/CAD_buy,GBP/NZD_sell,GBP/NZD_buy,AUD/CAD_sell,AUD/CAD_buy,CAD/CHF_sell,CAD/CHF_buy,NZD/CAD_sell,NZD/CAD_buy
2008-01-29,-9.3,8.7,-15.4,14.7,-29.4,28.3,-16.1,14.8,-18.4,17.4,-10.5,9.4,-5.3,4.7,-4.4,4,-41,38.1,-0.017,0.01,-0.104,0.101,0.028,-0.035,-0.077,0.065,-0.108,0.096,-0.042,0.037,0.001,-0.014,-0.075,0.065,-0.2,0.17,0.107,-0.126,0.05,-0.08,-0.03,0.013,-0.125,0.097,-0.16,0.13,-3,2.5,-1.88,1.4,-1.9,0.9,-1.8,0.7,-2,1.7,-6.3,4.5,-16,13,-0.3,0.25,17,-17.3,0.85,-1.45,0.017,-0.08,-0.143,0.102,0.344,-0.379,1.17,-1.24,0.27,-0.306,0.206,-0.287,0.038,-0.169,0.0001,-0.06,-0.175,0.148,0.53,-0.573,1.847,-2.054,0.047,-0.331,-0.083,0.071,0.137,-0.286,-0.103,0.031,-0.083,0.049,-0.11,0.07
2008-01-30,-25.8,23.7,-48.6,45.3,-89.4,86.1,-49.5,45.9,-53.7,49.8,-32.4,30,-15.3,14.1,-12.9,11.4,-126,108,-0.105,0.09,-0.366,0.36,0.075,-0.093,-0.086,0.074,-0.336,0.294,-0.105,0.1,0.048,-0.075,-0.255,0.231,-0.66,0.51,0.3,-0.357,0.06,-0.21,-0.09,0.03,-0.435,0.27,-0.51,0.36,-84.66,78.99,-54.57,47.46,-12.6,3,-21.99,17.1,-60,51,-17.4,13.5,-48,39,-0.99,0.84,53.4,-66.6,3.537,-3.81,0.225,-0.336,-0.24,0.15,1.167,-1.239,3.6,-4.8,0.81,-0.918,0.579,-0.663,0.252,-0.369,0.012,-0.174,-0.528,0.372,1.647,-1.767,5.1,-6.6,0.09,-0.27,-0.285,0.207,0.45,-0.63,-0.21,0.09,-0.204,0.126,-0.297,0.231
2008-01-31,-8.1,7.4,-16.1,15.2,-29.4,28.5,-16.4,15.4,-18.4,17.3,-10.7,10,-5.2,4.7,-4.1,3.7,-41.5,35.5,-0.039,0.035,-0.126,0.121,0.026,-0.031,-0.086,0.074,-0.112,0.099,-0.035,0.029,0.016,-0.025,-0.085,0.077,-0.22,0.17,0.1,-0.119,0.02,-0.07,-0.03,0.01,-0.145,0.09,-0.17,0.12,-28.22,26.33,-18.19,15.82,-4.2,1,-7.33,5.7,-20,17,-5.8,4.5,-16,13,-0.33,0.28,17.8,-22.2,1.179,-1.27,0.075,-0.112,-0.08,0.05,0.389,-0.413,1.2,-1.6,0.27,-0.306,0.193,-0.221,0.084,-0.123,0.004,-0.058,-0.176,0.124,0.549,-0.589,1.7,-2.2,0.03,-0.09,-0.095,0.069,0.15,-0.21,-0.07,0.03,-0.068,0.042,-0.099,0.077
2008-02-01,-8.1,7.4,-16.1,15.2,-29.4,28.5,-16.4,15.4,-18.4,17.3,-10.7,10,-5.2,4.7,-4.1,3.7,-41.5,35.5,-0.039,0.035,-0.126,0.121,0.026,-0.031,-0.086,0.074,-0.112,0.099,-0.035,0.029,0.016,-0.025,-0.085,0.077,-0.22,0.17,0.1,-0.119,0.02,-0.07,-0.03,0.01,-0.145,0.09,-0.17,0.12,-28.22,26.33,-18.19,15.82,-4.2,1,-7.33,5.7,-20,17,-5.8,4.5,-16,13,-0.33,0.28,17.8,-22.2,1.179,-1.27,0.075,-0.112,-0.08,0.05,0.389,-0.413,1.2,-1.6,0.27,-0.306,0.193,-0.221,0.084,-0.123,0.004,-0.058,-0.176,0.124,0.549,-0.589,1.7,-2.2,0.03,-0.09,-0.095,0.069,0.15,-0.21,-0.07,0.03,-0.068,0.042,-0.099,0.077
2008-02-04,-8.1,7.6,-16,15.3,-29,28.3,-16.9,15.7,-18.4,17.5,-10.6,9.6,-5.9,5.3,-4.2,3.8,-42.5,36.5,-0.039,0.033,-0.127,0.121,0.025,-0.031,-0.093,0.081,-0.113,0.104,-0.024,0.019,0.014,-0.026,-0.072,0.065,-0.2,0.15,0.104,-0.123,0.02,-0.07,-0.03,0.01,-0.145,0.09,-0.17,0.12,-27.11,26.11,-18.11,15.61,-4.2,1,-7.33,5.7,-20,17,-5.8,4.5,-16,13,-0.37,0.23,20,-24,0.9,-1.3,0.112,-0.148,-0.058,0.045,0.398,-0.434,1.3,-1.6,0.22,-0.34,0.196,-0.225,0.084,-0.123,0.004,-0.058,-0.176,0.124,0.549,-0.589,1.8,-2.2,0.03,-0.09,-0.09,0.07,0.15,-0.2,-0.08,0.04,-0.05,0.04,-0.099,0.077
2008-02-05,-8,7.6,-15.7,15,-29.4,28.6,-17.2,16,-18.4,17.5,-10,9.6,-5.9,5.4,-4.2,3.7,-42.5,36.5,-0.038,0.032,-0.13,0.126,0.027,-0.034,-0.096,0.084,-0.113,0.104,-0.023,0.018,0.018,-0.027,-0.07,0.062,-0.2,0.15,0.111,-0.129,0.02,-0.07,-0.03,0.01,-0.145,0.09,-0.17,0.12,-28.06,26.24,-18.09,15.53,-2.8,1.4,-6.34,4.73,-20,17,-6,5.6,-16,13,-0.307,0.215,21.6,-23.8,0.722,-0.824,0.135,-0.15,-0.078,0.052,0.398,-0.434,1.3,-1.6,0.254,-0.325,0.196,-0.225,0.104,-0.129,0.015,-0.062,-0.068,0.135,0.547,-0.601,1.8,-2.2,0.04,-0.09,-0.087,0.073,0.15,-0.2,-0.08,0.04,-0.052,0.041,-0.096,0.08
2008-02-06,-24.6,23.1,-46.5,44.4,-84.9,82.2,-51.3,48,-55.2,52.5,-31.8,30,-17.4,15.3,-12,10.8,-124.5,106.5,-0.108,0.093,-0.354,0.342,0.069,-0.09,-0.288,0.252,-0.339,0.312,-0.078,0.063,0.069,-0.087,-0.219,0.198,-0.6,0.45,0.339,-0.396,0.03,-0.21,-0.09,0.03,-0.435,0.27,-0.51,0.36,-84.45,78.87,-53.58,45.81,-8.7,4.2,-20.73,15.06,-45,36,-18.6,17.1,-48,39,-0.945,0.624,5.7,-67.8,2.166,-2.472,0.396,-0.465,-0.258,0.159,1.191,-1.305,3.9,-4.8,0.756,-0.996,0.588,-0.675,0.318,-0.405,0.045,-0.195,-0.588,0.402,1.638,-1.797,5.4,-6.6,0.12,-0.27,-0.258,0.219,0.45,-0.6,-0.24,0.12,-0.159,0.12,-0.288,0.24
2008-02-07,-7.9,7.4,-15.9,15.1,-28.2,27.3,-17.8,16.5,-18.2,16.9,-10.7,9.9,-5.4,5,-4,3.5,-41.5,35.5,-0.042,0.038,-0.123,0.119,0.023,-0.028,-0.101,0.092,-0.113,0.103,-0.021,0.018,0.019,-0.032,-0.075,0.068,-0.187,0.17,-0.123,-0.14,0.023,-0.05,-0.03,0.01,-0.135,0.106,-0.147,0.123,-27.9,25.53,-17.28,15.7,-8.1,3.2,-6.92,5.01,-16,10,-6.3,5.7,-16,13,-0.288,0.207,1.76,-2.22,0.804,-0.972,0.129,-0.149,-0.077,0.051,0.388,-0.409,1.4,-1.8,0.262,-0.359,0.173,-0.222,0.106,-0.14,0.017,-0.065,-0.197,0.136,0.539,-0.568,1.7,-2.2,0.047,-0.16,-0.087,0.071,0.15,-0.2,-0.08,0.04,-0.053,0.04,-0.098,0.082
2008-02-08,-7.9,7.4,-15.9,15.1,-28.2,27.3,-17.8,16.5,-18.2,16.9,-10.7,9.9,-5.4,5,-4,3.5,-41.5,35.5,-0.043,0.038,-0.123,0.119,0.023,-0.028,-0.106,0.093,-0.118,0.105,-0.019,0.014,0.02,-0.032,-0.071,0.063,-0.19,0.14,-0.12,-0.141,0.02,-0.06,-0.03,0.01,-0.145,0.09,-0.14,0.11,-27.9,25.53,-17.28,15.7,-8.1,3.2,-6.92,5.01,-16,10,-6.3,5.7,-16,13,-0.288,0.207,1.92,-2.23,0.96,-1.2,0.127,-0.15,-0.077,0.051,0.402,-0.44,1.3,-1.6,0.243,-0.426,0.189,-0.214,0.1,-0.15,0.01,-0.062,-0.197,0.136,0.553,-0.607,1.8,-2.2,0.08,-0.13,-0.101,0.047,0.15,-0.2,-0.08,0.04,-0.069,0.033,-0.098,0.082
2008-02-11,-7.7,7.2,-15.4,14.6,-27.8,27.1,-17.6,16.6,-18,16.9,-10.6,9.8,-6,5.3,-4,3.6,-39.6,37,-0.042,0.036,-0.12,0.118,0.022,-0.028,-0.106,0.092,-0.123,0.111,-0.018,0.013,0.025,-0.032,-0.067,0.06,-0.19,0.14,0.12,-0.141,0.02,-0.06,-0.03,0.01,-0.145,0.09,-0.14,0.11,-28.83,26.33,-17.78,15.28,-8.1,3.2,-6.92,5.01,-16,10,-6.3,5.7,-16,13,-0.288,0.207,1.55,-2.82,0.962,-1.109,0.106,-0.188,-0.077,0.051,0.41,-0.448,1.3,-1.6,0.217,-0.392,0.204,-0.229,0.12,-0.167,0.009,-0.064,-0.197,0.136,0.555,-0.607,1.8,-2.2,0.08,-0.13,-0.094,0.038,0.16,-0.21,-0.08,0.04,-0.059,0.043,-0.106,0.065
